file,line,pattern,snippet
tools/inspect_quantum_simulator_stacks.py,74,placeholder,"lines.append(f""- stub_or_placeholder_hits: {counts['stub_or_placeholder']}"")"
tools/inspect_quantum_simulator_stacks.py,75,hardcod,"lines.append(f""- hardcoding_risk_hits: {counts['hardcoding_risk']}"")"
tools/inspect_quantum_simulator_stacks.py,99,TODO,"cmd = ['rg', '-n', '-i', 'stub|placeholder|todo|fixme|hardcod', *TARGETS]"
tools/post_run_hfbl360_forensic_logger.py,8,placeholder,Purpose: verify (without placeholder data) whether requested forensic naming/
tools/generate_cycle06_benchmark_course_report.py,53,placeholder,"'- Règle qualité: aucun placeholder/stub/hardcoding ajouté; uniquement exploitation des données brutes existantes et génération de nouveaux artefacts sidecar.',"
tools/post_run_authenticity_audit.py,9,TODO,"(""TODO"", re.compile(r""\bTODO\b"", re.IGNORECASE), ""warning""),"
tools/post_run_authenticity_audit.py,10,FIXME,"(""FIXME"", re.compile(r""\bFIXME\b"", re.IGNORECASE), ""warning""),"
tools/post_run_authenticity_audit.py,11,placeholder,"(""PLACEHOLDER"", re.compile(r""\bPLACEHOLDER\b"", re.IGNORECASE), ""risk""),"
tools/post_run_authenticity_audit.py,12,stub,"(""STUB"", re.compile(r""\bSTUB\b|\bstub\b"", re.IGNORECASE), ""risk""),"
tools/post_run_authenticity_audit.py,13,mock,"(""MOCK"", re.compile(r""\bmock\b"", re.IGNORECASE), ""risk""),"
tools/post_run_authenticity_audit.py,14,hardcode,"# Detect concrete hardcoded runtime/model markers, avoid meta self-references."
tools/post_run_authenticity_audit.py,15,hardcod,"(""HARDCODING"", re.compile(r""advanced_fullscale_deterministic|periodic_fullscale|problem_t probs\["", re.IGNORECASE), ""review""),"
tools/post_run_authenticity_audit.py,60,hardcod,hardcoding = []
tools/post_run_authenticity_audit.py,74,hardcod,"if name == ""HARDCODING"":"
tools/post_run_authenticity_audit.py,75,hardcod,"hardcoding.append([str(rel), i, line.strip()[:240], ""REVIEW_REQUIRED""])"
tools/post_run_authenticity_audit.py,80,hardcod,"hard_path = run_dir / ""tests"" / ""integration_hardcoding_risk_register.csv"""
tools/post_run_authenticity_audit.py,81,hardcod,"write_csv(hard_path, [""file"", ""line"", ""snippet"", ""status""], hardcoding)"
tools/post_run_authenticity_audit.py,95,hardcod,"""7. `cat <RUN_DIR>/tests/integration_hardcoding_risk_register.csv`\n"""
tools/post_run_authenticity_audit.py,103,placeholder,"[""Q3"", ""Des placeholders/stubs/hardcoding compromettent-ils l'authenticité ?"", ""integration_code_authenticity_audit.csv"", ""AUTO""],"
tools/fullscale_strict_protocol_runner.py,21,TODO,"""TODO"","
tools/fullscale_strict_protocol_runner.py,22,FIXME,"""FIXME"","
tools/fullscale_strict_protocol_runner.py,23,placeholder,"""placeholder"","
tools/fullscale_strict_protocol_runner.py,24,mock,"""mock"","
tools/fullscale_strict_protocol_runner.py,25,stub,"""stub"","
tools/fullscale_strict_protocol_runner.py,26,hardcode,"""hardcode"","
tools/fullscale_strict_protocol_runner.py,27,hardcod,"""hardcod"","
tools/fullscale_strict_protocol_runner.py,28,proxy,"""proxy"","
tools/fullscale_strict_protocol_runner.py,61,proxy,"def run_proxy_detection(root: Path, out_csv: Path) -> tuple[int, int]:"
tools/fullscale_strict_protocol_runner.py,135,proxy,"""## anti_proxy_detection"","
tools/fullscale_strict_protocol_runner.py,136,proxy,"f""- source_files_scanned: `{data['anti_proxy']['files_scanned']}`"","
tools/fullscale_strict_protocol_runner.py,137,proxy,"f""- violations_detected: `{data['anti_proxy']['violations_detected']}`"","
tools/fullscale_strict_protocol_runner.py,138,proxy,"f""- report_csv: `{data['anti_proxy']['report_csv']}`"","
tools/fullscale_strict_protocol_runner.py,141,hardcod,"""- hardcoding scientifique: FORBIDDEN"","
tools/fullscale_strict_protocol_runner.py,142,placeholder,"""- placeholders/stubs/mocks trompeurs: FORBIDDEN"","
tools/fullscale_strict_protocol_runner.py,143,proxy,"""- proxy algorithmique caché: FORBIDDEN"","
tools/fullscale_strict_protocol_runner.py,165,proxy,"anti_proxy_csv = run / ""audit"" / ""proxy_detection_report.csv"""
tools/fullscale_strict_protocol_runner.py,166,proxy,"scanned, violations = run_proxy_detection(root, anti_proxy_csv)"
tools/fullscale_strict_protocol_runner.py,192,proxy,"""anti_proxy"": {"
tools/fullscale_strict_protocol_runner.py,195,proxy,"""report_csv"": str(anti_proxy_csv.relative_to(run)),"
tools/fullscale_strict_protocol_runner.py,202,proxy,"f""- anti_proxy_violations: {violations}\n"""
tools/post_run_metadata_capture.py,23,hardcode,"""""""Load metadata from generated run artifacts (no hardcoded physics table)."""""""
tools/post_run_metadata_capture.py,148,hardcode,"""source"": ""post_run_metadata_capture_no_hardcoded_table"","
audit/PROTOCOL_FULLSCALE_STRICT.md,5,proxy,- détection anti-proxy (`tools/fullscale_strict_protocol_runner.py`)
